20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java122 - Inside test updateUserData
20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java143 - Inside test deleteUserData
20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java78 - Inside test getUserData
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java101 - Inside test CreateUserData
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java129 - Inside test updateUserData
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java153 - Inside test deleteUserData
20230313 02:28:29 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:28:46 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java78 - Inside test getUserData
20230313 02:28:46 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:28:46 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java101 - Inside test CreateUserData
20230313 02:28:46 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:28:47 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java129 - Inside test updateUserData
20230313 02:28:47 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:28:47 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java153 - Inside test deleteUserData
20230313 02:28:47 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:29:38 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java74 - Inside test getUserData
20230313 02:29:38 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 02:30:01 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java97 - Inside test CreateUserData
20230313 02:30:01 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 02:30:02 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java122 - Inside test updateUserData
20230313 02:30:02 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 02:30:06 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java143 - Inside test deleteUserData
20230313 02:30:06 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 02:30:47 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java78 - Inside test getUserData
20230313 02:30:47 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:31:07 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java101 - Inside test CreateUserData
20230313 02:31:07 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:31:08 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java129 - Inside test updateUserData
20230313 02:31:08 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:31:11 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java153 - Inside test deleteUserData
20230313 02:31:11 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 17:06:47 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:25:10 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:25:17 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:25:17 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:25:18 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:25:18 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:26:11 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:26:17 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:26:17 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:26:18 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:26:18 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:26:37 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:26:57 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:27:16 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:27:33 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:27:56 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:28:22 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:28:37 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:29:19 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:29:37 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:36:12 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:36:18 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:36:19 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:36:19 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:36:20 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:37:39 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java44 - Logger : Inside test TC1 getEmployeeList
20230313 17:37:45 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java80 - Logger : Inside test TC2 CreateEmployee
20230313 17:37:45 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java115 - Logger : Inside test TC3 DeleteEmployee
20230313 17:37:46 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java153 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:37:46 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java181 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:38:35 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java44 - Logger : Inside test TC1 getEmployeeList
20230313 17:38:39 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java80 - Logger : Inside test TC2 CreateEmployee
20230313 17:38:39 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java115 - Logger : Inside test TC3 DeleteEmployee
20230313 17:38:40 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java153 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:38:40 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java181 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:38:54 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java44 - Logger : Inside test TC1 getEmployeeList
20230313 17:38:59 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java80 - Logger : Inside test TC2 CreateEmployee
20230313 17:39:00 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java115 - Logger : Inside test TC3 DeleteEmployee
20230313 17:39:00 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java153 - Logger: Inside test TC4 DeleteEmployeeWithParam0
